element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
542,26,14,0,True,2020-09-27T13:00:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,8063,10638,12364,4301
542,35,13,2,False,2020-10-04T15:30:00Z,1,6,4,90,0,0,0,1,0,0,0,0,0,0,0,13,16.8,44.3,14.0,7.5,55,19247,37537,23523,4276
542,47,19,4,True,2020-10-18T15:30:00Z,3,3,5,90,0,1,0,3,0,0,0,0,0,0,0,26,26.6,17.0,0.0,4.4,55,84744,145131,102512,17768
542,52,4,0,False,2020-10-26T20:00:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,109764,260793,123530,13766
542,67,3,4,True,2020-11-01T19:15:00Z,2,1,7,90,0,1,0,1,0,0,0,1,0,0,0,21,24.8,17.3,17.0,5.9,56,31709,292851,55273,23564
542,77,18,6,False,2020-11-08T12:00:00Z,0,1,8,90,0,0,1,0,0,0,0,0,0,0,0,25,31.0,17.8,28.0,7.7,56,6110,301748,44689,38579
542,87,12,6,True,2020-11-21T17:30:00Z,2,0,9,90,0,0,1,0,0,0,0,0,0,0,0,20,21.4,0.8,2.0,2.4,56,11924,319132,43622,31698
542,91,5,5,False,2020-11-29T16:30:00Z,0,0,10,90,0,0,1,0,0,0,0,1,0,0,0,19,2.6,3.0,2.0,0.8,56,38587,362670,52911,14324
542,106,1,6,True,2020-12-06T16:30:00Z,2,0,11,90,0,0,1,0,0,0,0,0,0,0,0,18,12.6,1.3,0.0,1.4,56,23931,388217,55695,31764
542,110,6,2,False,2020-12-13T14:15:00Z,1,1,12,83,0,0,0,1,0,0,0,0,0,0,0,12,13.8,5.9,18.0,3.8,57,68833,471904,82405,13572
542,127,11,1,False,2020-12-16T20:00:00Z,2,1,13,14,0,0,0,1,0,0,0,0,0,0,0,4,3.2,0.0,2.0,0.5,57,-2338,464868,21696,24034
542,137,9,1,True,2020-12-20T14:15:00Z,0,2,14,90,0,0,0,2,0,0,0,0,0,0,0,8,11.2,6.9,8.0,2.6,57,7785,477292,27762,19977
542,148,20,6,False,2020-12-27T19:15:00Z,1,1,15,62,0,0,1,0,0,0,0,0,0,0,0,15,4.0,2.7,25.0,3.2,57,6713,487024,44111,37398
542,167,10,0,True,2021-01-02T12:30:00Z,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-5481,532198,29070,34551
542,157,8,8,True,2021-01-13T20:15:00Z,1,1,18,90,0,1,0,1,0,0,0,0,0,0,3,30,40.4,35.7,12.0,8.8,57,-41093,523488,35219,76312
542,186,15,2,False,2021-01-17T14:00:00Z,1,3,19,90,0,0,0,1,0,0,0,0,0,0,0,14,9.2,2.6,2.0,1.4,57,-33215,453870,20659,53874
542,198,11,0,True,2021-01-28T20:00:00Z,1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-30907,440531,18104,49011
542,200,3,0,False,2021-01-31T19:15:00Z,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-78753,361350,5245,83998
542,218,5,0,True,2021-02-04T20:00:00Z,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-60032,302226,303,60335
542,227,18,0,True,2021-02-07T12:00:00Z,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-57305,245503,347,57652
542,235,12,0,False,2021-02-13T17:30:00Z,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-44175,201033,170,44345
